,N_birds,p_call,num_nocall_clips,pos_mu,pos_sd,neg_mu,neg_sd
0,3,0.1,525,5,2,-1,1
1,2,0.1,576,5,2,-1,1
2,1,0.1,652,5,2,-1,1
3,1,0.1,646,5,2,-1,1
4,5,0.1,422,5,2,-1,1
5,2,0.1,560,5,2,-1,1
6,3,0.1,530,5,2,-1,1
7,2,0.1,597,5,2,-1,1
8,1,0.1,645,5,2,-1,1
9,5,0.1,403,5,2,-1,1
10,0,0.1,720,5,2,-1,1
11,4,0.1,475,5,2,-1,1
12,1,0.1,639,5,2,-1,1
13,3,0.1,526,5,2,-1,1
14,2,0.1,569,5,2,-1,1
15,2,0.1,584,5,2,-1,1
16,1,0.1,642,5,2,-1,1
17,1,0.1,658,5,2,-1,1
18,2,0.1,565,5,2,-1,1
19,0,0.1,720,5,2,-1,1
20,1,0.1,659,5,2,-1,1
21,1,0.1,654,5,2,-1,1
22,3,0.1,528,5,2,-1,1
23,7,0.1,346,5,2,-1,1
24,1,0.1,658,5,2,-1,1
25,1,0.1,656,5,2,-1,1
26,0,0.1,720,5,2,-1,1
27,1,0.1,643,5,2,-1,1
28,5,0.1,418,5,2,-1,1
29,3,0.1,538,5,2,-1,1
30,1,0.1,642,5,2,-1,1
31,4,0.1,469,5,2,-1,1
32,2,0.1,598,5,2,-1,1
33,4,0.1,466,5,2,-1,1
34,4,0.1,461,5,2,-1,1
35,3,0.1,514,5,2,-1,1
36,0,0.1,720,5,2,-1,1
37,1,0.1,648,5,2,-1,1
38,1,0.1,653,5,2,-1,1
39,2,0.1,578,5,2,-1,1
40,3,0.1,533,5,2,-1,1
41,3,0.1,530,5,2,-1,1
42,3,0.1,522,5,2,-1,1
43,1,0.1,662,5,2,-1,1
44,2,0.1,582,5,2,-1,1
45,3,0.1,520,5,2,-1,1
46,2,0.1,583,5,2,-1,1
47,3,0.1,519,5,2,-1,1
48,5,0.1,438,5,2,-1,1
49,5,0.1,434,5,2,-1,1
50,2,0.1,597,5,2,-1,1
51,1,0.1,633,5,2,-1,1
52,4,0.1,466,5,2,-1,1
53,2,0.1,595,5,2,-1,1
54,2,0.1,573,5,2,-1,1
55,4,0.1,473,5,2,-1,1
56,3,0.1,531,5,2,-1,1
57,2,0.1,582,5,2,-1,1
58,1,0.1,638,5,2,-1,1
59,1,0.1,653,5,2,-1,1
60,3,0.1,504,5,2,-1,1
61,3,0.1,541,5,2,-1,1
62,4,0.1,473,5,2,-1,1
63,4,0.1,479,5,2,-1,1
64,0,0.1,720,5,2,-1,1
65,2,0.1,558,5,2,-1,1
66,2,0.1,574,5,2,-1,1
67,3,0.1,526,5,2,-1,1
68,0,0.1,720,5,2,-1,1
69,2,0.1,570,5,2,-1,1
70,2,0.1,573,5,2,-1,1
71,2,0.1,583,5,2,-1,1
72,3,0.1,531,5,2,-1,1
73,2,0.1,592,5,2,-1,1
74,2,0.1,564,5,2,-1,1
75,4,0.1,479,5,2,-1,1
76,3,0.1,510,5,2,-1,1
77,3,0.1,527,5,2,-1,1
78,3,0.1,512,5,2,-1,1
79,0,0.1,720,5,2,-1,1
80,2,0.1,562,5,2,-1,1
81,2,0.1,579,5,2,-1,1
82,3,0.1,528,5,2,-1,1
83,4,0.1,477,5,2,-1,1
84,3,0.1,510,5,2,-1,1
85,3,0.1,530,5,2,-1,1
86,3,0.1,524,5,2,-1,1
87,1,0.1,655,5,2,-1,1
88,2,0.1,555,5,2,-1,1
89,1,0.1,644,5,2,-1,1
90,0,0.1,720,5,2,-1,1
91,5,0.1,419,5,2,-1,1
92,2,0.1,578,5,2,-1,1
93,2,0.1,584,5,2,-1,1
94,3,0.1,513,5,2,-1,1
95,1,0.1,637,5,2,-1,1
96,0,0.1,720,5,2,-1,1
97,1,0.1,660,5,2,-1,1
98,3,0.1,536,5,2,-1,1
99,0,0.1,720,5,2,-1,1
