,N_birds,p_call,num_nocall_clips,pos_mu,pos_sd,neg_mu,neg_sd
0,3,0.35000000000000003,188,5,2,-1,1
1,2,0.35000000000000003,311,5,2,-1,1
2,3,0.35000000000000003,182,5,2,-1,1
3,3,0.35000000000000003,201,5,2,-1,1
4,2,0.35000000000000003,294,5,2,-1,1
5,3,0.35000000000000003,202,5,2,-1,1
6,1,0.35000000000000003,485,5,2,-1,1
7,1,0.35000000000000003,477,5,2,-1,1
8,2,0.35000000000000003,317,5,2,-1,1
9,4,0.35000000000000003,116,5,2,-1,1
10,7,0.35000000000000003,37,5,2,-1,1
11,3,0.35000000000000003,201,5,2,-1,1
12,1,0.35000000000000003,455,5,2,-1,1
13,1,0.35000000000000003,478,5,2,-1,1
14,2,0.35000000000000003,300,5,2,-1,1
15,7,0.35000000000000003,37,5,2,-1,1
16,7,0.35000000000000003,29,5,2,-1,1
17,11,0.35000000000000003,6,5,2,-1,1
18,3,0.35000000000000003,232,5,2,-1,1
19,2,0.35000000000000003,309,5,2,-1,1
20,1,0.35000000000000003,478,5,2,-1,1
21,3,0.35000000000000003,211,5,2,-1,1
22,4,0.35000000000000003,144,5,2,-1,1
23,3,0.35000000000000003,205,5,2,-1,1
24,2,0.35000000000000003,304,5,2,-1,1
25,7,0.35000000000000003,38,5,2,-1,1
26,1,0.35000000000000003,465,5,2,-1,1
27,6,0.35000000000000003,54,5,2,-1,1
28,3,0.35000000000000003,222,5,2,-1,1
29,1,0.35000000000000003,462,5,2,-1,1
30,3,0.35000000000000003,202,5,2,-1,1
31,3,0.35000000000000003,197,5,2,-1,1
32,2,0.35000000000000003,317,5,2,-1,1
33,3,0.35000000000000003,198,5,2,-1,1
34,2,0.35000000000000003,311,5,2,-1,1
35,4,0.35000000000000003,121,5,2,-1,1
36,1,0.35000000000000003,490,5,2,-1,1
37,2,0.35000000000000003,291,5,2,-1,1
38,2,0.35000000000000003,298,5,2,-1,1
39,4,0.35000000000000003,138,5,2,-1,1
40,1,0.35000000000000003,470,5,2,-1,1
41,2,0.35000000000000003,288,5,2,-1,1
42,3,0.35000000000000003,205,5,2,-1,1
43,5,0.35000000000000003,82,5,2,-1,1
44,4,0.35000000000000003,134,5,2,-1,1
45,2,0.35000000000000003,312,5,2,-1,1
46,1,0.35000000000000003,492,5,2,-1,1
47,3,0.35000000000000003,199,5,2,-1,1
48,3,0.35000000000000003,197,5,2,-1,1
49,1,0.35000000000000003,462,5,2,-1,1
50,2,0.35000000000000003,310,5,2,-1,1
51,3,0.35000000000000003,213,5,2,-1,1
52,4,0.35000000000000003,110,5,2,-1,1
53,3,0.35000000000000003,196,5,2,-1,1
54,6,0.35000000000000003,55,5,2,-1,1
55,5,0.35000000000000003,80,5,2,-1,1
56,5,0.35000000000000003,86,5,2,-1,1
57,1,0.35000000000000003,464,5,2,-1,1
58,2,0.35000000000000003,289,5,2,-1,1
59,4,0.35000000000000003,125,5,2,-1,1
60,6,0.35000000000000003,62,5,2,-1,1
61,4,0.35000000000000003,132,5,2,-1,1
62,2,0.35000000000000003,298,5,2,-1,1
63,4,0.35000000000000003,126,5,2,-1,1
64,3,0.35000000000000003,215,5,2,-1,1
65,10,0.35000000000000003,9,5,2,-1,1
66,5,0.35000000000000003,64,5,2,-1,1
67,2,0.35000000000000003,330,5,2,-1,1
68,0,0.35000000000000003,720,5,2,-1,1
69,1,0.35000000000000003,484,5,2,-1,1
70,1,0.35000000000000003,478,5,2,-1,1
71,6,0.35000000000000003,54,5,2,-1,1
72,6,0.35000000000000003,59,5,2,-1,1
73,5,0.35000000000000003,85,5,2,-1,1
74,1,0.35000000000000003,451,5,2,-1,1
75,3,0.35000000000000003,204,5,2,-1,1
76,4,0.35000000000000003,125,5,2,-1,1
77,3,0.35000000000000003,197,5,2,-1,1
78,1,0.35000000000000003,453,5,2,-1,1
79,3,0.35000000000000003,211,5,2,-1,1
80,2,0.35000000000000003,292,5,2,-1,1
81,5,0.35000000000000003,81,5,2,-1,1
82,5,0.35000000000000003,76,5,2,-1,1
83,3,0.35000000000000003,199,5,2,-1,1
84,5,0.35000000000000003,68,5,2,-1,1
85,2,0.35000000000000003,302,5,2,-1,1
86,0,0.35000000000000003,720,5,2,-1,1
87,1,0.35000000000000003,450,5,2,-1,1
88,2,0.35000000000000003,303,5,2,-1,1
89,1,0.35000000000000003,473,5,2,-1,1
90,3,0.35000000000000003,191,5,2,-1,1
91,6,0.35000000000000003,46,5,2,-1,1
92,4,0.35000000000000003,140,5,2,-1,1
93,3,0.35000000000000003,217,5,2,-1,1
94,6,0.35000000000000003,49,5,2,-1,1
95,6,0.35000000000000003,49,5,2,-1,1
96,6,0.35000000000000003,66,5,2,-1,1
97,6,0.35000000000000003,58,5,2,-1,1
98,1,0.35000000000000003,479,5,2,-1,1
99,3,0.35000000000000003,212,5,2,-1,1
