,N_birds,p_call,num_nocall_clips,pos_mu,pos_sd,neg_mu,neg_sd
0,4,0.45,63,5,2,-1,1
1,1,0.45,392,5,2,-1,1
2,5,0.45,44,5,2,-1,1
3,4,0.45,62,5,2,-1,1
4,2,0.45,215,5,2,-1,1
5,2,0.45,234,5,2,-1,1
6,1,0.45,377,5,2,-1,1
7,2,0.45,224,5,2,-1,1
8,2,0.45,222,5,2,-1,1
9,3,0.45,131,5,2,-1,1
10,1,0.45,429,5,2,-1,1
11,1,0.45,405,5,2,-1,1
12,2,0.45,205,5,2,-1,1
13,2,0.45,218,5,2,-1,1
14,6,0.45,23,5,2,-1,1
15,5,0.45,34,5,2,-1,1
16,1,0.45,388,5,2,-1,1
17,3,0.45,118,5,2,-1,1
18,0,0.45,720,5,2,-1,1
19,3,0.45,133,5,2,-1,1
20,3,0.45,113,5,2,-1,1
21,1,0.45,403,5,2,-1,1
22,2,0.45,211,5,2,-1,1
23,3,0.45,138,5,2,-1,1
24,3,0.45,118,5,2,-1,1
25,5,0.45,37,5,2,-1,1
26,1,0.45,394,5,2,-1,1
27,0,0.45,720,5,2,-1,1
28,3,0.45,100,5,2,-1,1
29,1,0.45,397,5,2,-1,1
30,2,0.45,244,5,2,-1,1
31,4,0.45,60,5,2,-1,1
32,3,0.45,103,5,2,-1,1
33,5,0.45,36,5,2,-1,1
34,4,0.45,69,5,2,-1,1
35,3,0.45,130,5,2,-1,1
36,2,0.45,206,5,2,-1,1
37,2,0.45,233,5,2,-1,1
38,3,0.45,131,5,2,-1,1
39,1,0.45,395,5,2,-1,1
40,7,0.45,16,5,2,-1,1
41,6,0.45,28,5,2,-1,1
42,0,0.45,720,5,2,-1,1
43,1,0.45,388,5,2,-1,1
44,3,0.45,107,5,2,-1,1
45,2,0.45,232,5,2,-1,1
46,4,0.45,62,5,2,-1,1
47,0,0.45,720,5,2,-1,1
48,4,0.45,51,5,2,-1,1
49,2,0.45,220,5,2,-1,1
50,6,0.45,15,5,2,-1,1
51,1,0.45,377,5,2,-1,1
52,4,0.45,74,5,2,-1,1
53,1,0.45,428,5,2,-1,1
54,3,0.45,132,5,2,-1,1
55,2,0.45,211,5,2,-1,1
56,2,0.45,212,5,2,-1,1
57,2,0.45,192,5,2,-1,1
58,6,0.45,17,5,2,-1,1
59,4,0.45,62,5,2,-1,1
60,2,0.45,217,5,2,-1,1
61,3,0.45,109,5,2,-1,1
62,4,0.45,63,5,2,-1,1
63,5,0.45,39,5,2,-1,1
64,0,0.45,720,5,2,-1,1
65,1,0.45,409,5,2,-1,1
66,1,0.45,382,5,2,-1,1
67,2,0.45,221,5,2,-1,1
68,2,0.45,234,5,2,-1,1
69,2,0.45,207,5,2,-1,1
70,2,0.45,211,5,2,-1,1
71,4,0.45,60,5,2,-1,1
72,4,0.45,73,5,2,-1,1
73,1,0.45,412,5,2,-1,1
74,0,0.45,720,5,2,-1,1
75,5,0.45,42,5,2,-1,1
76,2,0.45,199,5,2,-1,1
77,3,0.45,121,5,2,-1,1
78,3,0.45,115,5,2,-1,1
79,2,0.45,231,5,2,-1,1
80,1,0.45,384,5,2,-1,1
81,4,0.45,62,5,2,-1,1
82,0,0.45,720,5,2,-1,1
83,1,0.45,403,5,2,-1,1
84,2,0.45,203,5,2,-1,1
85,2,0.45,233,5,2,-1,1
86,6,0.45,16,5,2,-1,1
87,3,0.45,122,5,2,-1,1
88,2,0.45,197,5,2,-1,1
89,0,0.45,720,5,2,-1,1
90,4,0.45,76,5,2,-1,1
91,3,0.45,115,5,2,-1,1
92,5,0.45,33,5,2,-1,1
93,0,0.45,720,5,2,-1,1
94,4,0.45,65,5,2,-1,1
95,2,0.45,213,5,2,-1,1
96,1,0.45,402,5,2,-1,1
97,3,0.45,120,5,2,-1,1
98,3,0.45,130,5,2,-1,1
99,7,0.45,9,5,2,-1,1
