,N_birds,p_call,num_nocall_clips,pos_mu,pos_sd,neg_mu,neg_sd
0,2,0.35000000000000003,314,5,2,-1,1
1,0,0.35000000000000003,720,5,2,-1,1
2,3,0.35000000000000003,215,5,2,-1,1
3,2,0.35000000000000003,313,5,2,-1,1
4,0,0.35000000000000003,720,5,2,-1,1
5,0,0.35000000000000003,720,5,2,-1,1
6,2,0.35000000000000003,300,5,2,-1,1
7,5,0.35000000000000003,77,5,2,-1,1
8,1,0.35000000000000003,483,5,2,-1,1
9,3,0.35000000000000003,183,5,2,-1,1
10,0,0.35000000000000003,720,5,2,-1,1
11,2,0.35000000000000003,328,5,2,-1,1
12,1,0.35000000000000003,442,5,2,-1,1
13,0,0.35000000000000003,720,5,2,-1,1
14,4,0.35000000000000003,127,5,2,-1,1
15,1,0.35000000000000003,461,5,2,-1,1
16,4,0.35000000000000003,125,5,2,-1,1
17,4,0.35000000000000003,129,5,2,-1,1
18,1,0.35000000000000003,468,5,2,-1,1
19,2,0.35000000000000003,294,5,2,-1,1
20,2,0.35000000000000003,290,5,2,-1,1
21,3,0.35000000000000003,200,5,2,-1,1
22,3,0.35000000000000003,193,5,2,-1,1
23,3,0.35000000000000003,196,5,2,-1,1
24,3,0.35000000000000003,197,5,2,-1,1
25,0,0.35000000000000003,720,5,2,-1,1
26,1,0.35000000000000003,464,5,2,-1,1
27,2,0.35000000000000003,307,5,2,-1,1
28,1,0.35000000000000003,483,5,2,-1,1
29,0,0.35000000000000003,720,5,2,-1,1
30,3,0.35000000000000003,222,5,2,-1,1
31,2,0.35000000000000003,304,5,2,-1,1
32,5,0.35000000000000003,88,5,2,-1,1
33,4,0.35000000000000003,119,5,2,-1,1
34,2,0.35000000000000003,315,5,2,-1,1
35,4,0.35000000000000003,135,5,2,-1,1
36,1,0.35000000000000003,470,5,2,-1,1
37,1,0.35000000000000003,453,5,2,-1,1
38,0,0.35000000000000003,720,5,2,-1,1
39,2,0.35000000000000003,310,5,2,-1,1
40,3,0.35000000000000003,170,5,2,-1,1
41,2,0.35000000000000003,322,5,2,-1,1
42,1,0.35000000000000003,460,5,2,-1,1
43,3,0.35000000000000003,191,5,2,-1,1
44,2,0.35000000000000003,311,5,2,-1,1
45,0,0.35000000000000003,720,5,2,-1,1
46,3,0.35000000000000003,204,5,2,-1,1
47,1,0.35000000000000003,486,5,2,-1,1
48,1,0.35000000000000003,474,5,2,-1,1
49,3,0.35000000000000003,220,5,2,-1,1
50,2,0.35000000000000003,305,5,2,-1,1
51,2,0.35000000000000003,316,5,2,-1,1
52,0,0.35000000000000003,720,5,2,-1,1
53,6,0.35000000000000003,63,5,2,-1,1
54,3,0.35000000000000003,215,5,2,-1,1
55,2,0.35000000000000003,310,5,2,-1,1
56,3,0.35000000000000003,187,5,2,-1,1
57,2,0.35000000000000003,294,5,2,-1,1
58,4,0.35000000000000003,129,5,2,-1,1
59,4,0.35000000000000003,130,5,2,-1,1
60,1,0.35000000000000003,439,5,2,-1,1
61,0,0.35000000000000003,720,5,2,-1,1
62,4,0.35000000000000003,124,5,2,-1,1
63,1,0.35000000000000003,467,5,2,-1,1
64,3,0.35000000000000003,214,5,2,-1,1
65,4,0.35000000000000003,124,5,2,-1,1
66,4,0.35000000000000003,130,5,2,-1,1
67,1,0.35000000000000003,451,5,2,-1,1
68,2,0.35000000000000003,313,5,2,-1,1
69,2,0.35000000000000003,306,5,2,-1,1
70,3,0.35000000000000003,188,5,2,-1,1
71,2,0.35000000000000003,307,5,2,-1,1
72,2,0.35000000000000003,323,5,2,-1,1
73,3,0.35000000000000003,218,5,2,-1,1
74,5,0.35000000000000003,69,5,2,-1,1
75,4,0.35000000000000003,144,5,2,-1,1
76,1,0.35000000000000003,467,5,2,-1,1
77,1,0.35000000000000003,462,5,2,-1,1
78,2,0.35000000000000003,290,5,2,-1,1
79,1,0.35000000000000003,463,5,2,-1,1
80,2,0.35000000000000003,326,5,2,-1,1
81,0,0.35000000000000003,720,5,2,-1,1
82,2,0.35000000000000003,288,5,2,-1,1
83,0,0.35000000000000003,720,5,2,-1,1
84,3,0.35000000000000003,230,5,2,-1,1
85,5,0.35000000000000003,81,5,2,-1,1
86,1,0.35000000000000003,478,5,2,-1,1
87,0,0.35000000000000003,720,5,2,-1,1
88,2,0.35000000000000003,317,5,2,-1,1
89,0,0.35000000000000003,720,5,2,-1,1
90,1,0.35000000000000003,487,5,2,-1,1
91,2,0.35000000000000003,271,5,2,-1,1
92,4,0.35000000000000003,122,5,2,-1,1
93,3,0.35000000000000003,191,5,2,-1,1
94,0,0.35000000000000003,720,5,2,-1,1
95,2,0.35000000000000003,305,5,2,-1,1
96,5,0.35000000000000003,77,5,2,-1,1
97,5,0.35000000000000003,82,5,2,-1,1
98,1,0.35000000000000003,473,5,2,-1,1
99,2,0.35000000000000003,295,5,2,-1,1
