,N_birds,p_call,num_nocall_clips,pos_mu,pos_sd,neg_mu,neg_sd
0,8,0.15000000000000002,182,5,2,-1,1
1,0,0.15000000000000002,720,5,2,-1,1
2,2,0.15000000000000002,503,5,2,-1,1
3,6,0.15000000000000002,276,5,2,-1,1
4,7,0.15000000000000002,242,5,2,-1,1
5,3,0.15000000000000002,459,5,2,-1,1
6,4,0.15000000000000002,376,5,2,-1,1
7,1,0.15000000000000002,590,5,2,-1,1
8,4,0.15000000000000002,392,5,2,-1,1
9,2,0.15000000000000002,536,5,2,-1,1
10,1,0.15000000000000002,605,5,2,-1,1
11,6,0.15000000000000002,269,5,2,-1,1
12,2,0.15000000000000002,525,5,2,-1,1
13,5,0.15000000000000002,325,5,2,-1,1
14,4,0.15000000000000002,377,5,2,-1,1
15,4,0.15000000000000002,365,5,2,-1,1
16,1,0.15000000000000002,613,5,2,-1,1
17,3,0.15000000000000002,435,5,2,-1,1
18,6,0.15000000000000002,247,5,2,-1,1
19,2,0.15000000000000002,528,5,2,-1,1
20,5,0.15000000000000002,318,5,2,-1,1
21,3,0.15000000000000002,438,5,2,-1,1
22,4,0.15000000000000002,392,5,2,-1,1
23,3,0.15000000000000002,441,5,2,-1,1
24,2,0.15000000000000002,524,5,2,-1,1
25,3,0.15000000000000002,430,5,2,-1,1
26,1,0.15000000000000002,610,5,2,-1,1
27,2,0.15000000000000002,510,5,2,-1,1
28,1,0.15000000000000002,593,5,2,-1,1
29,1,0.15000000000000002,620,5,2,-1,1
30,2,0.15000000000000002,497,5,2,-1,1
31,5,0.15000000000000002,336,5,2,-1,1
32,5,0.15000000000000002,293,5,2,-1,1
33,2,0.15000000000000002,513,5,2,-1,1
34,4,0.15000000000000002,393,5,2,-1,1
35,3,0.15000000000000002,452,5,2,-1,1
36,3,0.15000000000000002,459,5,2,-1,1
37,0,0.15000000000000002,720,5,2,-1,1
38,5,0.15000000000000002,308,5,2,-1,1
39,4,0.15000000000000002,375,5,2,-1,1
40,1,0.15000000000000002,615,5,2,-1,1
41,8,0.15000000000000002,199,5,2,-1,1
42,4,0.15000000000000002,367,5,2,-1,1
43,5,0.15000000000000002,340,5,2,-1,1
44,3,0.15000000000000002,442,5,2,-1,1
45,3,0.15000000000000002,442,5,2,-1,1
46,3,0.15000000000000002,421,5,2,-1,1
47,2,0.15000000000000002,510,5,2,-1,1
48,3,0.15000000000000002,424,5,2,-1,1
49,3,0.15000000000000002,461,5,2,-1,1
50,2,0.15000000000000002,526,5,2,-1,1
51,4,0.15000000000000002,394,5,2,-1,1
52,5,0.15000000000000002,315,5,2,-1,1
53,2,0.15000000000000002,503,5,2,-1,1
54,0,0.15000000000000002,720,5,2,-1,1
55,4,0.15000000000000002,381,5,2,-1,1
56,5,0.15000000000000002,321,5,2,-1,1
57,0,0.15000000000000002,720,5,2,-1,1
58,2,0.15000000000000002,510,5,2,-1,1
59,1,0.15000000000000002,611,5,2,-1,1
60,5,0.15000000000000002,319,5,2,-1,1
61,1,0.15000000000000002,612,5,2,-1,1
62,6,0.15000000000000002,283,5,2,-1,1
63,5,0.15000000000000002,330,5,2,-1,1
64,2,0.15000000000000002,506,5,2,-1,1
65,1,0.15000000000000002,601,5,2,-1,1
66,2,0.15000000000000002,513,5,2,-1,1
67,2,0.15000000000000002,505,5,2,-1,1
68,2,0.15000000000000002,523,5,2,-1,1
69,4,0.15000000000000002,374,5,2,-1,1
70,6,0.15000000000000002,281,5,2,-1,1
71,2,0.15000000000000002,505,5,2,-1,1
72,2,0.15000000000000002,511,5,2,-1,1
73,1,0.15000000000000002,613,5,2,-1,1
74,4,0.15000000000000002,353,5,2,-1,1
75,3,0.15000000000000002,424,5,2,-1,1
76,3,0.15000000000000002,434,5,2,-1,1
77,2,0.15000000000000002,521,5,2,-1,1
78,3,0.15000000000000002,455,5,2,-1,1
79,4,0.15000000000000002,393,5,2,-1,1
80,6,0.15000000000000002,274,5,2,-1,1
81,4,0.15000000000000002,376,5,2,-1,1
82,1,0.15000000000000002,617,5,2,-1,1
83,2,0.15000000000000002,525,5,2,-1,1
84,5,0.15000000000000002,326,5,2,-1,1
85,3,0.15000000000000002,446,5,2,-1,1
86,3,0.15000000000000002,425,5,2,-1,1
87,6,0.15000000000000002,288,5,2,-1,1
88,7,0.15000000000000002,223,5,2,-1,1
89,3,0.15000000000000002,444,5,2,-1,1
90,4,0.15000000000000002,373,5,2,-1,1
91,3,0.15000000000000002,437,5,2,-1,1
92,2,0.15000000000000002,522,5,2,-1,1
93,1,0.15000000000000002,596,5,2,-1,1
94,8,0.15000000000000002,208,5,2,-1,1
95,1,0.15000000000000002,626,5,2,-1,1
96,2,0.15000000000000002,531,5,2,-1,1
97,4,0.15000000000000002,385,5,2,-1,1
98,2,0.15000000000000002,541,5,2,-1,1
99,7,0.15000000000000002,229,5,2,-1,1
