,N_birds,p_call,num_nocall_clips,pos_mu,pos_sd,neg_mu,neg_sd
0,2,0.05,671,5,2,-1,1
1,3,0.05,630,5,2,-1,1
2,4,0.05,590,5,2,-1,1
3,6,0.05,522,5,2,-1,1
4,7,0.05,498,5,2,-1,1
5,1,0.05,679,5,2,-1,1
6,1,0.05,692,5,2,-1,1
7,6,0.05,529,5,2,-1,1
8,4,0.05,584,5,2,-1,1
9,4,0.05,584,5,2,-1,1
10,1,0.05,681,5,2,-1,1
11,4,0.05,575,5,2,-1,1
12,4,0.05,578,5,2,-1,1
13,2,0.05,655,5,2,-1,1
14,3,0.05,606,5,2,-1,1
15,2,0.05,653,5,2,-1,1
16,3,0.05,628,5,2,-1,1
17,2,0.05,658,5,2,-1,1
18,3,0.05,590,5,2,-1,1
19,4,0.05,572,5,2,-1,1
20,6,0.05,542,5,2,-1,1
21,3,0.05,626,5,2,-1,1
22,5,0.05,553,5,2,-1,1
23,2,0.05,654,5,2,-1,1
24,1,0.05,685,5,2,-1,1
25,4,0.05,575,5,2,-1,1
26,6,0.05,556,5,2,-1,1
27,2,0.05,650,5,2,-1,1
28,2,0.05,652,5,2,-1,1
29,1,0.05,690,5,2,-1,1
30,7,0.05,479,5,2,-1,1
31,7,0.05,503,5,2,-1,1
32,4,0.05,605,5,2,-1,1
33,4,0.05,577,5,2,-1,1
34,4,0.05,569,5,2,-1,1
35,2,0.05,660,5,2,-1,1
36,1,0.05,690,5,2,-1,1
37,3,0.05,608,5,2,-1,1
38,9,0.05,457,5,2,-1,1
39,4,0.05,592,5,2,-1,1
40,6,0.05,525,5,2,-1,1
41,0,0.05,720,5,2,-1,1
42,2,0.05,644,5,2,-1,1
43,3,0.05,616,5,2,-1,1
44,1,0.05,700,5,2,-1,1
45,3,0.05,602,5,2,-1,1
46,6,0.05,530,5,2,-1,1
47,6,0.05,544,5,2,-1,1
48,2,0.05,632,5,2,-1,1
49,6,0.05,536,5,2,-1,1
50,3,0.05,601,5,2,-1,1
51,6,0.05,533,5,2,-1,1
52,5,0.05,548,5,2,-1,1
53,4,0.05,584,5,2,-1,1
54,7,0.05,510,5,2,-1,1
55,4,0.05,590,5,2,-1,1
56,3,0.05,613,5,2,-1,1
57,3,0.05,616,5,2,-1,1
58,1,0.05,690,5,2,-1,1
59,6,0.05,513,5,2,-1,1
60,7,0.05,489,5,2,-1,1
61,6,0.05,524,5,2,-1,1
62,2,0.05,638,5,2,-1,1
63,7,0.05,538,5,2,-1,1
64,4,0.05,591,5,2,-1,1
65,5,0.05,535,5,2,-1,1
66,1,0.05,681,5,2,-1,1
67,4,0.05,586,5,2,-1,1
68,6,0.05,534,5,2,-1,1
69,5,0.05,536,5,2,-1,1
70,1,0.05,685,5,2,-1,1
71,1,0.05,687,5,2,-1,1
72,0,0.05,720,5,2,-1,1
73,0,0.05,720,5,2,-1,1
74,4,0.05,602,5,2,-1,1
75,3,0.05,628,5,2,-1,1
76,8,0.05,495,5,2,-1,1
77,3,0.05,623,5,2,-1,1
78,4,0.05,576,5,2,-1,1
79,2,0.05,660,5,2,-1,1
80,2,0.05,665,5,2,-1,1
81,2,0.05,648,5,2,-1,1
82,3,0.05,633,5,2,-1,1
83,6,0.05,521,5,2,-1,1
84,2,0.05,652,5,2,-1,1
85,2,0.05,638,5,2,-1,1
86,0,0.05,720,5,2,-1,1
87,5,0.05,551,5,2,-1,1
88,4,0.05,594,5,2,-1,1
89,5,0.05,566,5,2,-1,1
90,2,0.05,640,5,2,-1,1
91,2,0.05,653,5,2,-1,1
92,2,0.05,655,5,2,-1,1
93,2,0.05,664,5,2,-1,1
94,3,0.05,623,5,2,-1,1
95,5,0.05,557,5,2,-1,1
96,4,0.05,586,5,2,-1,1
97,5,0.05,569,5,2,-1,1
98,5,0.05,571,5,2,-1,1
99,3,0.05,633,5,2,-1,1
