,N_birds,p_call,num_nocall_clips,pos_mu,pos_sd,neg_mu,neg_sd
0,3,0.3,255,5,2,-1,1
1,2,0.3,370,5,2,-1,1
2,0,0.3,720,5,2,-1,1
3,3,0.3,240,5,2,-1,1
4,0,0.3,720,5,2,-1,1
5,1,0.3,486,5,2,-1,1
6,1,0.3,482,5,2,-1,1
7,2,0.3,338,5,2,-1,1
8,1,0.3,506,5,2,-1,1
9,3,0.3,275,5,2,-1,1
10,1,0.3,508,5,2,-1,1
11,0,0.3,720,5,2,-1,1
12,2,0.3,364,5,2,-1,1
13,2,0.3,365,5,2,-1,1
14,1,0.3,493,5,2,-1,1
15,3,0.3,244,5,2,-1,1
16,2,0.3,335,5,2,-1,1
17,1,0.3,515,5,2,-1,1
18,3,0.3,225,5,2,-1,1
19,1,0.3,490,5,2,-1,1
20,0,0.3,720,5,2,-1,1
21,2,0.3,347,5,2,-1,1
22,3,0.3,260,5,2,-1,1
23,1,0.3,517,5,2,-1,1
24,2,0.3,367,5,2,-1,1
25,1,0.3,498,5,2,-1,1
26,3,0.3,232,5,2,-1,1
27,1,0.3,496,5,2,-1,1
28,0,0.3,720,5,2,-1,1
29,3,0.3,233,5,2,-1,1
30,1,0.3,501,5,2,-1,1
31,1,0.3,520,5,2,-1,1
32,1,0.3,495,5,2,-1,1
33,1,0.3,504,5,2,-1,1
34,0,0.3,720,5,2,-1,1
35,3,0.3,237,5,2,-1,1
36,1,0.3,513,5,2,-1,1
37,3,0.3,253,5,2,-1,1
38,5,0.3,116,5,2,-1,1
39,1,0.3,484,5,2,-1,1
40,0,0.3,720,5,2,-1,1
41,1,0.3,519,5,2,-1,1
42,0,0.3,720,5,2,-1,1
43,1,0.3,504,5,2,-1,1
44,0,0.3,720,5,2,-1,1
45,1,0.3,526,5,2,-1,1
46,1,0.3,509,5,2,-1,1
47,0,0.3,720,5,2,-1,1
48,0,0.3,720,5,2,-1,1
49,2,0.3,350,5,2,-1,1
50,4,0.3,179,5,2,-1,1
51,4,0.3,171,5,2,-1,1
52,0,0.3,720,5,2,-1,1
53,4,0.3,177,5,2,-1,1
54,2,0.3,361,5,2,-1,1
55,1,0.3,486,5,2,-1,1
56,1,0.3,509,5,2,-1,1
57,1,0.3,504,5,2,-1,1
58,1,0.3,515,5,2,-1,1
59,4,0.3,171,5,2,-1,1
60,1,0.3,497,5,2,-1,1
61,2,0.3,351,5,2,-1,1
62,2,0.3,363,5,2,-1,1
63,3,0.3,250,5,2,-1,1
64,1,0.3,514,5,2,-1,1
65,2,0.3,347,5,2,-1,1
66,2,0.3,356,5,2,-1,1
67,5,0.3,117,5,2,-1,1
68,3,0.3,249,5,2,-1,1
69,1,0.3,491,5,2,-1,1
70,0,0.3,720,5,2,-1,1
71,0,0.3,720,5,2,-1,1
72,3,0.3,255,5,2,-1,1
73,1,0.3,503,5,2,-1,1
74,3,0.3,264,5,2,-1,1
75,2,0.3,333,5,2,-1,1
76,0,0.3,720,5,2,-1,1
77,1,0.3,510,5,2,-1,1
78,0,0.3,720,5,2,-1,1
79,0,0.3,720,5,2,-1,1
80,3,0.3,231,5,2,-1,1
81,2,0.3,346,5,2,-1,1
82,0,0.3,720,5,2,-1,1
83,0,0.3,720,5,2,-1,1
84,0,0.3,720,5,2,-1,1
85,0,0.3,720,5,2,-1,1
86,1,0.3,495,5,2,-1,1
87,0,0.3,720,5,2,-1,1
88,2,0.3,344,5,2,-1,1
89,2,0.3,349,5,2,-1,1
90,1,0.3,507,5,2,-1,1
91,2,0.3,337,5,2,-1,1
92,1,0.3,493,5,2,-1,1
93,3,0.3,257,5,2,-1,1
94,0,0.3,720,5,2,-1,1
95,2,0.3,337,5,2,-1,1
96,1,0.3,509,5,2,-1,1
97,2,0.3,373,5,2,-1,1
98,2,0.3,372,5,2,-1,1
99,0,0.3,720,5,2,-1,1
